country,preferred_sport
Afghanistan,Boxing
Albania,"Weightlifting, Football"
Algeria,"Athletics, Football"
American Samoa,"Rugby, Basketball"
Andorra,"Curling, Football"
Angola,"Basketball, Football"
Anguilla,"Cricket, Football"
Antigua and Barbuda,"Cricket, Football"
Argentina,"Football, Rugby"
Armenia,Football
Australia,"Swimming & Waterpolo, Football"
Austria,Football
Azerbaijan,Football
Bahamas,"Athletics, Basketball"
Bahrain,"Athletics, Football"
Bangladesh,"Cricket, Football"
Barbados,"Cricket, Basketball"
Belarus,"Gymnastics, Football"
Belgium,Football
Bhutan,Football
Bolivia,"Football, Volleyball"
Bosnia and Herzegovina,"Basketball, Football"
Botswana,"Athletics, Football"
Brazil,"Football, Volleyball"
Brunei,"Badminton, Football"
Bulgaria,"Weightlifting, Football"
Burkina Faso,"Athletics, Football"
Burundi,"Athletics, Football"
Cambodia,"Volleyball, Football"
Cameroon,"Football, Athletics"
Canada,Basketball
Cape Verde,"Football, Basketball"
Central African Republic,"Basketball, Football"
Chad,"Football, Basketball"
Chile,"Tennis, Football"
China,"Table Tennis, Basketball"
Colombia,Football
Comoros,"Football, Basketball"
Costa Rica,Football
Croatia,Football
Cuba,Boxing
Cyprus,"Football, Basketball"
Czech Republic,Football
Denmark,Football
Djibouti,"Football, Basketball"
Dominican Republic,Basketball
DR Congo,"Football, Basketball"
Ecuador,Football
Egypt,"Football, Squash"
El Salvador,Football
Equatorial Guinea,"Football, Basketball"
Eritrea,Athletics
Estonia,"Basketball, Football"
Eswatini,"Football, Rugby"
Ethiopia,"Athletics, Football"
Fiji,"Rugby, Athletics"
Finland,Athletics
France,"Football, Rugby"
French Guiana,"Football, Basketball"
Gabon,"Football, Basketball"
Gambia,"Football, Athletics"
Georgia,"Rugby, Football"
Germany,"Football, Basketball"
Ghana,"Football, Boxing"
Gibraltar,"Football, Basketball"
Greece,"Basketball, Football"
Grenada,"Cricket, Football"
Guadeloupe,"Football, Basketball"
Guatemala,"Football, Basketball"
Guinea,"Football, Athletics"
Guyana,"Cricket, Football"
Haiti,"Football, Basketball"
Honduras,"Football, Boxing"
Hong Kong,"Badminton, Football"
Hungary,Football
Iceland,Football
India,Cricket
Indonesia,"Badminton, Football"
Iran,Football
Iraq,"Football, Basketball"
Ireland,Rugby
Israel,"Football, Basketball"
Italy,"Football, Basketball"
Ivory Coast,"Football, Basketball"
Jamaica,"Athletics, Cricket"
Japan,Football
Jordan,"Football, Basketball"
Kazakhstan,"Boxing, Football"
Kenya,"Athletics, Rugby"
Kiribati,"Weightlifting, Rugby"
Kuwait,"Football, Basketball"
Kyrgyzstan,Football
Laos,"Football, Volleyball"
Latvia,"Basketball, Football"
Lebanon,"Basketball, Football"
Lesotho,"Athletics, Football"
Liberia,"Football, Basketball"
Libya,"Football, Basketball"
Lithuania,"Basketball, Football"
Luxembourg,"Football, Basketball"
Madagascar,"Football, Rugby"
Malawi,"Football, Netball"
Malaysia,"Badminton, Football"
Maldives,"Football, Volleyball"
Mali,"Football, Basketball"
Malta,"Football, Basketball"
Marshall Islands,"Basketball, Volleyball"
Martinique,"Football, Basketball"
Mauritania,"Football, Basketball"
Mauritius,"Football, Table Tennis"
Mexico,Football
Micronesia,"Athletics, Basketball"
Moldova,"Football, Basketball"
Monaco,Football
Mongolia,Weightlifitng
Montenegro,Football
Morocco,"Football, Athletics"
Mozambique,"Football, Basketball"
Myanmar,Football
Namibia,"Rugby, Football"
Nauru,Weightlifting
Nepal,"Cricket, Football"
Netherlands,Football
New Caledonia,Football
New Zealand,"Rugby, Netball"
Nicaragua,Football
Niger,"Football, Basketball"
Nigeria,"Football, Athletics"
North Korea,Football
North Macedonia,Football
Norway,Football
Oman,"Football, Basketball"
Pakistan,Cricket
Palau,Basketball
Palestine,"Football, Basketball"
Panama,Football
Papua New Guinea,Football
Paraguay,"Football, Rugby"
Peru,Football
Philippines,"Basketball, Boxing"
Poland,"Football, Volleyball"
Portugal,Football
Puerto Rico,Basketball
Qatar,"Football, Basketball"
Republic of the Congo,"Football, Basketball"
Romania,"Football, Gymnastics"
Russia,Football
Rwanda,"Football, Basketball"
Saint Kitts and Nevis,"Cricket, Football"
Saint Lucia,"Cricket, Football"
Saint Vincent and the Grenadines,"Cricket, Football"
Samoa,"Rugby, Football"
San Marino,"Football, Basketball"
Sao Tome and Principe,"Football, Basketball"
Saudi Arabia,"Football, Basketball"
Senegal,"Football, Basketball"
Serbia,"Basketball, Football"
Seychelles,"Football, Basketball"
Sierra Leone,"Football, Athletics"
Singapore,"Table Tennis, Football"
Slovakia,Football
Slovenia,Football
Solomon Islands,Football
Somalia,"Football, Basketball"
South Africa,"Rugby, Cricket"
South Korea,"Cricket, Football"
South Sudan,"Football, Basketball"
Spain,"Football, Basketball"
Sri Lanka,"Cricket, Volleyball"
Sudan,"Football, Athletics"
Suriname,"Football, Basketball"
Sweden,Football
Switzerland,Football
Syria,"Football, Basketball"
Taiwan,Basketball
Tajikistan,"Football, Basketball"
Tanzania,"Football, Athletics"
Thailand,Football
Timor-Leste,"Football, Basketball"
Togo,"Football, Basketball"
Tonga,"Rugby, Football"
Trinidad and Tobago,"Cricket, Football"
Tunisia,"Football, Basketball"
Turkey,"Football, Basketball"
Turkmenistan,"Football, Weightlifting"
Tuvalu,"Weightlifting, Football"
Uganda,"Football, Athletics"
Ukraine,"Football, Boxing"
United Arab Emirates,"Football, Basketball"
United Kingdom,"Football, Rugby"
United States,Basketball
Uruguay,"Football, Basketball"
Uzbekistan,Football
Vanuatu,"Football, Cricket"
Venezuela,Football
Vietnam,"Football, Volleyball"
Wallis and Futuna,"Rugby, Volleyball"
Yemen,"Football, Basketball"
Zambia,"Football, Athletics"
Zimbabwe,"Cricket, Football"
